"review_copy_path","original_project_path","file_role","called_by","calls_or_sources","required_for_single_estimate","production_or_oracle","file_size","SHA256_original","SHA256_review_copy","exact_match","notes"
"original_source/external_legacy/RhoSigma1Sigma2Alpha_EstimationVFinal.R","C:\Users\Crist\OneDrive\School\Research\Long Research\RhoSigma1Sigma2Alpha_EstimationVFinal.R","8. obsolete or unused by authoritative pipeline","none","yuima and its own embedded methods","no","legacy/experimental","42891","f49e2c7d183ffc6518df9b34dffdc56ecf786fa81290762e4385dc4234be4df4","f49e2c7d183ffc6518df9b34dffdc56ecf786fa81290762e4385dc4234be4df4","True","OneDrive legacy script; contains X-to-residual formula but is not sourced by frozen validation and implements discarded V-reconstruction methods."
"original_source/finite_window_corrected_rho_estimator.R","C:\Users\Crist\Documents\Codex\2026-06-08\files-mentioned-by-the-user-rhosigma1sigma2alpha-2\finite_window_corrected_rho_estimator.R","1. production statistical code","work/run_finite_window_corrected_full_pipeline.R; profile generators; unit test","correction profile CSV","yes","production","13775","d269782cf88542953d7526eb0e136fddb7a9a0a29886470f6ab84937787e23b9","d269782cf88542953d7526eb0e136fddb7a9a0a29886470f6ab84937787e23b9","True","Implements profile evaluation, Richardson transfer, monotone inversion, corrected rho, and sigma1=beta/rho."
"original_source/finite_window_correction_numerical_profiles.csv","C:\Users\Crist\Documents\Codex\2026-06-08\files-mentioned-by-the-user-rhosigma1sigma2alpha-2\finite_window_correction_numerical_profiles.csv","3. precomputed numerical object","work/run_finite_window_corrected_full_pipeline.R for n=10000000,T=50","generated by run_finite_window_correction_numerics.R / finite_window_corrected_rho_estimator.R","yes for n=10000000,T=50","production generic simulation object","55914","67bd5e44f0e54327a9e12119ffea4282a5a367810ca272dad475e1ad58909d55","67bd5e44f0e54327a9e12119ffea4282a5a367810ca272dad475e1ad58909d55","True","Primary and independent transfer grids; production selects replication=primary."
"original_source/finite_window_semigroup_derivation.md","C:\Users\Crist\Documents\Codex\2026-06-08\files-mentioned-by-the-user-rhosigma1sigma2alpha-2\finite_window_semigroup_derivation.md","2. numerical support code (mathematical derivation)","human review; finite_window_corrected_rho_estimator.R comments","none","no","theoretical support","10881","573513326ebc463fdb672dab0759da83a8b051701594e6eb6be231164504c692","573513326ebc463fdb672dab0759da83a8b051701594e6eb6be231164504c692","True","Derivation of the transfer map represented by the correction profiles."
"original_source/frozen_method_hashes.csv","C:\Users\Crist\Documents\Codex\2026-06-08\files-mentioned-by-the-user-rhosigma1sigma2alpha-2\frozen_method_hashes.csv","4. orchestration only","work/run_overarching_validation_batch.ps1; human integrity audit","all frozen paths","no for direct run; yes for batch","integrity metadata","2733","001e2b5bee09eff6e3fdfb1888b8e0003cf3c57f89f650be7a6dffbbd9b54bab","001e2b5bee09eff6e3fdfb1888b8e0003cf3c57f89f650be7a6dffbbd9b54bab","True","Freeze-time SHA-256 inventory. Current mismatch only for amended PowerShell controller."
"original_source/frozen_method_manifest.md","C:\Users\Crist\Documents\Codex\2026-06-08\files-mentioned-by-the-user-rhosigma1sigma2alpha-2\frozen_method_manifest.md","4. orchestration only","human review / freeze protocol","frozen_method_hashes.csv","no","documentation","9210","24c2bcfdf49913699851a0a7f5f7598436c3799c0bd3f425204aed20c5bbde2b","24c2bcfdf49913699851a0a7f5f7598436c3799c0bd3f425204aed20c5bbde2b","True","Authoritative pre-result statistical freeze description."
"original_source/frozen_orchestration_amendment_001.md","C:\Users\Crist\Documents\Codex\2026-06-08\files-mentioned-by-the-user-rhosigma1sigma2alpha-2\frozen_orchestration_amendment_001.md","4. orchestration only","human integrity audit","work/run_overarching_validation_batch.ps1","no","documentation","1693","7e8c9374ed84590f86564bd82c484ec9981be635df1de6e13be800f4cd59200a","7e8c9374ed84590f86564bd82c484ec9981be635df1de6e13be800f4cd59200a","True","Records sole frozen-hash mismatch and states it is logging/memory/result-reconciliation only."
"original_source/frozen_run_design.csv","C:\Users\Crist\Documents\Codex\2026-06-08\files-mentioned-by-the-user-rhosigma1sigma2alpha-2\frozen_run_design.csv","5. simulation only","work/run_conditional_cf_endpoint_full_pipeline.R via --design-file","none","yes for authoritative simulated validation invocation","simulation truth/configuration","25184","f3bf3306530fe3e902307240040ca6396f20ff453ad561e5b1e13ffc524c7f0f","f3bf3306530fe3e902307240040ca6396f20ff453ad561e5b1e13ffc524c7f0f","True","Provides true simulation parameters and n,T by case. Not an observed-data estimator input."
"original_source/frozen_scenario_design.csv","C:\Users\Crist\Documents\Codex\2026-06-08\files-mentioned-by-the-user-rhosigma1sigma2alpha-2\frozen_scenario_design.csv","5. simulation only","work/freeze_overarching_validation_design.R","none","no","simulation truth/configuration","1763","b1d88e7c98121c6d217ec1031d09f7cfd0abb34ebdd93ef800112fff422f9f1e","b1d88e7c98121c6d217ec1031d09f7cfd0abb34ebdd93ef800112fff422f9f1e","True","Frozen 12-regime scenario definitions; not read by a direct single estimate."
"original_source/frozen_seed_manifest.csv","C:\Users\Crist\Documents\Codex\2026-06-08\files-mentioned-by-the-user-rhosigma1sigma2alpha-2\frozen_seed_manifest.csv","4. orchestration only","work/run_overarching_validation_batch.ps1; work/build_overarching_correction_profiles.R","frozen_run_design.csv/scenario design provenance","no for direct run; yes for batch","simulation/orchestration","51385","0bcdfb88c91a6fee8167696f984c30f9812a21b42f6626af1d6d9cf00c438c8d","0bcdfb88c91a6fee8167696f984c30f9812a21b42f6626af1d6d9cf00c438c8d","True","Maps 254 run keys to seeds, observation cells, priorities, and correction profiles."
